@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,10,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,63,0,0,100,0,0,1,0.045466,0.146994,9.804697,30.531449,59.64963,5.629918,54.019713,0.94682,0.089364,0.857456,54.019713,0.857456,90.561689,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.002,0,0,0,0,65250,63409,8473,100,54.761905,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,57,6,0,90.47619,9.52381,0,0.798292,0.095663,0.308336,20.629506,64.042781,59.64963,60.944768,-1.295137,0.94682,0.967377,-0.020558,46.961319,0.745418,78.7286,0.913043,21,0.1,4,0.9,36,0.086957,2,0.84,0.913043,0.875,0.800103,0.941304,0.838012,0.904762,0.091718,0.908282,0.095238,0.90817,0.904762,0.905525,0.800103,0.941304,0.91232,0.899038,0.904762,0,0.001,0,0,0,0,65202,63409,8473,90.47619,50,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.040199,0.166584,8.668839,34.6003,59.64963,13.197996,46.451635,0.94682,0.209492,0.737328,54.386102,0.863271,91.175925,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.98587,0.953518,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.98587,0.976624,0.966346,0.968254,0,0.001,0,0,0,0,65202,63409,8473,98.412698,52.380952,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.032252,0.154214,6.955085,32.031002,59.64963,12.197039,47.452592,0.94682,0.193604,0.753216,55.495334,0.880878,93.035504,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.986413,0.954875,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.986413,0.977731,0.983033,0.984127,0,0.002,0,0,0,0,65202,63409,8473,98.412698,51.587302,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.024337,0.109111,5.248258,22.66282,59.64963,3.047984,56.601646,0.94682,0.048381,0.898439,56.385096,0.895002,94.527151,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.998913,0.996522,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.998913,0.997956,0.966346,0.968254,0,0.001,0,0,0,0,65202,63409,8473,100,52.380952,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.024286,0.140761,5.23727,29.236761,59.64963,11.194369,48.455262,0.94682,0.177688,0.769131,56.498005,0.896794,94.716437,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.996196,0.989855,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.996196,0.993586,0.982716,0.984127,0,0.002,0,0,0,0,65202,63409,8473,98.412698,50.793651,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,6,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.045454,0.146994,9.802024,30.531437,59.64963,5.62879,54.02084,0.94682,0.089346,0.857474,53.912565,0.855755,90.382061,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.997826,0.992754,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.997826,0.995911,0.983033,0.984127,0,0.002,0,0,0,0,65202,63409,8473,100,54.761905,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,7,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.045487,0.171802,9.809046,35.684126,59.64963,13.782769,45.866861,0.94682,0.218774,0.728045,53.801329,0.853989,90.195578,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.98587,0.953518,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.98587,0.976624,0.966346,0.968254,0,0.002,0,0,0,0,65202,63409,8473,98.412698,53.174603,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,8,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.018998,0.104972,4.096866,21.803196,59.64963,2.627995,57.021635,0.94682,0.041714,0.905105,57.082862,0.906077,95.696924,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0,0.002,0,0,0,0,65202,63409,8473,100,51.587302,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,9,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.061278,0.193526,13.214507,40.196329,59.64963,15.775388,43.874243,0.94682,0.250403,0.696417,51.916986,0.824079,87.036559,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.984239,0.947591,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.984239,0.975072,0.983033,0.984127,0,0.001,0,0.015625,0,15.625,65202,63409,8473,98.412698,54.761905,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,10,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,63,0,0,100,0,0,1,0.016395,0.089089,3.535461,18.504271,59.64963,2.047431,57.602199,0.94682,0.032499,0.914321,57.602199,0.914321,96.567571,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.002,0,0,0,0,65202,63409,8473,100,51.587302,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,60,3,0,95.238095,4.761905,0,0.898223,0.05071,0.206662,10.935383,42.924738,59.64963,22.926903,36.722728,0.94682,0.363919,0.5829,52.86944,0.839197,88.633307,0.956522,22,0.05,2,0.95,38,0.043478,1,0.916667,0.956522,0.93617,0.89874,0.973913,0.917284,0.952381,0.045859,0.954141,0.047619,0.953297,0.952381,0.952586,0.89874,0.973913,0.958537,0.949098,0.952381,0,0.002,0,0,0,0,65202,63409,8473,96.825397,51.587302,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.048092,0.178097,10.370947,36.991547,59.64963,14.194042,45.455589,0.94682,0.225302,0.721517,53.498331,0.84918,89.687616,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.995109,0.987772,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.995109,0.992051,0.982716,0.984127,0,0.001,0,0,0,0,65202,63409,8473,98.412698,53.174603,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.008478,0.062997,1.828326,13.084842,59.64963,1.049265,58.600366,0.94682,0.016655,0.930165,58.492091,0.928446,98.059436,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,1,1,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,1,1,0.983033,0.984127,0,0.002,0,0,0,0,65202,63409,8473,100,50.793651,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.040163,0.166584,8.661063,34.600286,59.64963,13.194717,46.454914,0.94682,0.20944,0.73738,54.281106,0.861605,90.999904,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.986413,0.955286,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.986413,0.97725,0.949907,0.952381,0,0.001,0,0,0,0,65202,63409,8473,98.412698,52.380952,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,63,0,0,100,0,0,1,0.032218,0.12599,6.947741,26.168623,59.64963,4.042924,55.606707,0.94682,0.064173,0.882646,55.606707,0.882646,93.222215,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0,0,0,0,65202,63409,8473,100,53.174603,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,6,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.040175,0.188835,8.663638,39.222012,59.64963,21.34682,38.30281,0.94682,0.338838,0.607981,54.388296,0.863306,91.179602,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.982065,0.944379,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.982065,0.970725,0.965761,0.968254,0,0.002,0,0.015625,0,15.625,65202,63409,8473,96.825397,50.793651,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,7,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.056021,0.188909,12.080666,39.237348,59.64963,15.193297,44.456333,0.94682,0.241163,0.705656,52.499076,0.833319,88.012407,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.985326,0.95204,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.985326,0.976859,0.983033,0.984127,0,0.001,0,0,0,0,65202,63409,8473,98.412698,53.968254,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,8,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.037539,0.159837,8.095244,33.198808,59.64963,12.781792,46.867839,0.94682,0.202886,0.743934,54.910581,0.871597,92.055191,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.994022,0.986825,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.994022,0.991231,0.982716,0.984127,0,0.002,0,0,0,0,65202,63409,8473,98.412698,52.380952,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,9,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.037535,0.159836,8.094256,33.198798,59.64963,12.781375,46.868256,0.94682,0.202879,0.743941,54.802723,0.869884,91.874372,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.98587,0.953129,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.98587,0.976697,0.966346,0.968254,0,0.002,0,0,0,0,65202,63409,8473,98.412698,52.380952,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,10,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.024326,0.140761,5.245892,29.236794,59.64963,11.198005,48.451625,0.94682,0.177746,0.769073,56.494368,0.896736,94.71034,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.986957,0.956601,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.986957,0.978361,0.983033,0.984127,0,0.001,0,0,0,0,65202,63409,8473,98.412698,50.793651,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.016407,0.125879,3.538197,26.145657,59.64963,10.199603,49.450028,0.94682,0.161898,0.784921,57.49277,0.912584,96.384118,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.9875,0.958333,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.9875,0.978993,0.983033,0.984127,0,0.002,0,0,0,0,65234,63409,8473,98.412698,50,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.032244,0.154214,6.953374,32.030984,59.64963,12.196316,47.453314,0.94682,0.193592,0.753227,55.496057,0.88089,93.036715,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.996739,0.991004,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.996739,0.994393,0.982716,0.984127,0,0.001,0,0.015625,0,15.625,65258,63409,8473,98.412698,51.587302,?,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,4,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220117.2227,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.027026,0.107091,5.828081,22.243259,59.64963,3.222125,56.427505,0.94682,0.051145,0.895675,56.31923,0.893956,94.416729,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.999457,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.999457,0.998951,0.983033,0.984127,0,0.002,0,0,0,0,65210,63409,8473,100,53.174603,?,?
